	id_cp_interaction	partner_a	partner_b	protein_name_a	protein_name_b	annotation_strategy	source	gene_name_a	gene_name_b	gene_name_mouse_a	gene_name_mouse_b
688	CPI-SS03A4F7DC8	P30530	Q14393	UFO_HUMAN	GAS6_HUMAN	guidetopharmacology.org		AXL	GAS6	Axl	Gas6
690	CPI-SS03B8E2D7A	P01375	Q9Y6W8	TNFA_HUMAN	ICOS_HUMAN	InnateDB-All		TNF	ICOS	Tnf	Icos
691	CPI-SS03C51D352	O14836	Q9Y275	TR13B_HUMAN	TN13B_HUMAN	curated	uniprot	TNFRSF13B	TNFSF13B	Tnfrsf13b	Tnfsf13b
692	CPI-SS03CC15FF3	P16234	Q9NRA1	PGFRA_HUMAN	PDGFC_HUMAN	curated	uniprot	PDGFRA	PDGFC	Pdgfra	Pdgfc
693	CPI-SS03D887978	Q86WN2	Q8WXG9	IFNE_HUMAN	GPR98_HUMAN	InnateDB-All		IFNE	ADGRV1	Ifne	Adgrv1
694	CPI-SS03DA2A820	P09038	P16070	FGF2_HUMAN	CD44_HUMAN	I2D,InnateDB-All		FGF2	CD44	Fgf2	Cd44
695	CPI-SS03E273233	P29274	P49961	AA2AR_HUMAN	ENTP1_HUMAN	curated	uniprot	ADORA2A	ENTPD1	Adora2a	Entpd1
696	CPI-SS03E450F99	P20827	Q15375	EFNA1_HUMAN	EPHA7_HUMAN	curated	PMID: 15114347	EFNA1	EPHA7	Efna1	Epha7
697	CPI-SS03E48EFEA	P01024	Q16581	CO3_HUMAN	C3AR_HUMAN	guidetopharmacology.org		C3	C3AR1	C3	C3ar1
698	CPI-SS03E7587E4	P30542	P49961	AA1R_HUMAN	ENTP1_HUMAN	curated	uniprot	ADORA1	ENTPD1	Adora1	Entpd1
699	CPI-SS03EACE0E0	P26927	Q04912	HGFL_HUMAN	RON_HUMAN	curated	PMID: 23792360	MST1	MST1R	Mst1	Mst1r
700	CPI-SS03EF699C7	P13747	P26715	HLAE_HUMAN	NKG2A_HUMAN	curated	Induces NK Cell Inhibition. Reviewed in PMID: 24223577	HLA-E	KLRC1	H2-T23	Klrc1
701	CPI-SS03F0B666C	P23560	Q9Y624	BDNF_HUMAN	JAM1_HUMAN	IMEx,InnateDB-All,IntAct		BDNF	F11R	Bdnf	F11r
702	CPI-SS03F821467	P40200	Q15223	TACT_HUMAN	PVRL1_HUMAN	curated	PMID: 17971293	CD96	NECTIN1	Cd96	Nectin1
703	CPI-SS03FA58286	P01375	Q9H7M9	TNFA_HUMAN	GI24_HUMAN	IMEx,IntAct		TNF	VSIR	Tnf	Vsir
704	CPI-SS040630206	P19875	P25024	CXCL2_HUMAN	CXCR1_HUMAN	I2D		CXCL2	CXCR1	Cxcl1	Cxcr1
705	CPI-SS04124F4E1	P01588	P52799	EPO_HUMAN	EFNB2_HUMAN	IMEx,IntAct		EPO	EFNB2	Epo	Efnb2
706	CPI-SS0412C803A	P28908	P32971	TNR8_HUMAN	TNFL8_HUMAN	curated	uniprot	TNFRSF8	TNFSF8	Tnfrsf8	Tnfsf8
707	CPI-SS0415CC75D	Q12866	Q14393	MERTK_HUMAN	GAS6_HUMAN	guidetopharmacology.org		MERTK	GAS6	Mertk	Gas6
709	CPI-SS041888D39	P29320	P52798	EPHA3_HUMAN	EFNA4_HUMAN	curated	PMID: 15114347	EPHA3	EFNA4	Epha3	Efna4
711	CPI-SS0423580E5	O00548	Q04721	DLL1_HUMAN	NOTC2_HUMAN	curated	PMID: 22353464	DLL1	NOTCH2	Dll1	Notch2
713	CPI-SS04297753E	P10451	P51685	OSTP_HUMAN	CCR8_HUMAN	IMEx,MINT		SPP1	CCR8	Spp1	Ccr8
714	CPI-SS042A6F835	P01344	P11717	IGF2_HUMAN	MPRI_HUMAN	curated	uniprot	IGF2	IGF2R	Igf2	Igf2r
715	CPI-SS042EB8C7A	P21731	Q9UBU3	TA2R_HUMAN	GHRL_HUMAN	InnateDB-All		TBXA2R	GHRL	Tbxa2r	Ghrl
718	CPI-SS043E0F61D	P43115	Q9UBU3	PE2R3_HUMAN	GHRL_HUMAN	InnateDB-All		PTGER3	GHRL	Ptger3	Ghrl
719	CPI-SS04456F441	P23510	P43489	TNFL4_HUMAN	TNR4_HUMAN	curated	uniprot	TNFSF4	TNFRSF4	Tnfsf4	Tnfrsf4
720	CPI-SS0445D021B	P10082	Q15761	PYY_HUMAN	NPY5R_HUMAN	I2D		PYY	NPY5R	Pyy	Npy5r
721	CPI-SS04465565A	P58294	Q8NFJ6	PROK1_HUMAN	PKR2_HUMAN	guidetopharmacology.org		PROK1	PROKR2	Prok1	Prokr2
722	CPI-SS044C72D0D	Q9H3S1	Q9Y4D7	SEM4A_HUMAN	PLXD1_HUMAN	curated	PMID: 22325954	SEMA4A	PLXND1	Sema4a	Plxnd1
723	CPI-SS044CF7EAE	O00220	P22455	TR10A_HUMAN	FGFR4_HUMAN	InnateDB-All		TNFRSF10A	FGFR4	Tnfrsf10b	Fgfr4
724	CPI-SS044DF8749	A4D1S0	Q9H1J7	KLRG2_HUMAN	WNT5B_HUMAN	InnateDB-All		KLRG2	WNT5B	Klrg2	Wnt5b
728	CPI-SS04640F9C3	P04155	P21802	TFF1_HUMAN	FGFR2_HUMAN	IMEx,InnateDB-All,MINT		TFF1	FGFR2	Tff1	Fgfr2
730	CPI-SS0467AFD8A	O60258	P11362	FGF17_HUMAN	FGFR1_HUMAN	I2D,InnateDB-All		FGF17	FGFR1	Fgf17	Fgfr1
731	CPI-SS046F6F0C1	P20827	P29317	EFNA1_HUMAN	EPHA2_HUMAN	curated	PMID: 15114347	EFNA1	EPHA2	Efna1	Epha2
732	CPI-SS0470AF83E	P54762	P98172	EPHB1_HUMAN	EFNB1_HUMAN	curated	PMID: 15114347	EPHB1	EFNB1	Ephb1	Efnb1
733	CPI-SS0471FCFF3	P22466	Q8TDV0	GALA_HUMAN	GP151_HUMAN	I2D		GAL	GPR151	Gal	Gpr151
734	CPI-SS047232C64	O00548	Q9UM47	DLL1_HUMAN	NOTC3_HUMAN	curated	PMID: 22353464	DLL1	NOTCH3	Dll1	Notch3
735	CPI-SS0472C478C	P18075	Q15262	BMP7_HUMAN	PTPRK_HUMAN	InnateDB-All		BMP7	PTPRK	Bmp7	Ptprk
737	CPI-SS0481D83A4	P00533	P15514	EGFR_HUMAN	AREG_HUMAN	curated	uniprot	EGFR	AREG	Egfr	Areg
740	CPI-SS0483CE4ED	P12272	Q03431	PTHR_HUMAN	PTH1R_HUMAN	guidetopharmacology.org		PTHLH	PTH1R	Pthlh	Pth1r
741	CPI-SS048604E28	P56704	Q9H461	WNT3A_HUMAN	FZD8_HUMAN	IMEx,IntAct		WNT3A	FZD8	Wnt3a	Fzd8
742	CPI-SS04861AD1A	P22455	Q96QR1	FGFR4_HUMAN	SG3A1_HUMAN	IMEx,InnateDB-All,MINT		FGFR4	SCGB3A1	Fgfr4	Scgb3a1
743	CPI-SS048A2311A	P01375	Q13546	TNFA_HUMAN	RIPK1_HUMAN	I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT		TNF	RIPK1	Tnf	Ripk1
744	CPI-SS04A4A2334	P07307	Q15848	ASGR2_HUMAN	ADIPO_HUMAN	IMEx,IntAct		ASGR2	ADIPOQ	Asgr2	Adipoq
745	CPI-SS04A5D6B6F	O00548	P46531	DLL1_HUMAN	NOTC1_HUMAN	curated	PMID: 22353464	DLL1	NOTCH1	Dll1	Notch1
746	CPI-SS04A7BCE8D	P01160	P17342	ANF_HUMAN	ANPRC_HUMAN	I2D,InnateDB-All		NPPA	NPR3	Nppa	Npr3
747	CPI-SS04A8E4200	Q15848	Q8TD46	ADIPO_HUMAN	MO2R1_HUMAN	IMEx,IntAct		ADIPOQ	CD200R1	Adipoq	Cd200r1
748	CPI-SS04A97448D	P05230	P21802	FGF1_HUMAN	FGFR2_HUMAN	I2D,IMEx,InnateDB-All,IntAct,MINT		FGF1	FGFR2	Fgf1	Fgfr2
749	CPI-SS04ACF8F99	P49683	P81277	PRLHR_HUMAN	PRRP_HUMAN	guidetopharmacology.org		PRLHR	PRLH	Prlhr	Prlh
750	CPI-SS04B4619D0	P01375	P19438	TNFA_HUMAN	TNR1A_HUMAN	curated	uniprot	TNF	TNFRSF1A	Tnf	Tnfrsf1a
751	CPI-SS04B547174	P01178	P30559	NEU1_HUMAN	OXYR_HUMAN	I2D		OXT	OXTR	Oxt	Oxtr
752	CPI-SS04BE14432	P55103	Q13705	INHBC_HUMAN	AVR2B_HUMAN	curated	PMID: 22710174	INHBC	ACVR2B	Inhbc	Acvr2b
753	CPI-SS04C396C5D	O15240	P04629	VGF_HUMAN	NTRK1_HUMAN	InnateDB-All		VGF	NTRK1	Vgf	Ntrk1
754	CPI-SS04C3EC52C	P49286	P53621	MTR1B_HUMAN	COPA_HUMAN	I2D,IMEx,InnateDB-All,IntAct		MTNR1B	COPA	Mtnr1b	Copa
755	CPI-SS04C672963	Q96AP7	Q96AP7	ESAM_HUMAN	ESAM_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/11279107	ESAM	ESAM	Esam	Esam
757	CPI-SS04CD88411	P46091	Q99969	GPR1_HUMAN	RARR2_HUMAN	guidetopharmacology.org		GPR1	RARRES2	Gpr1	Rarres2
758	CPI-SS04E690D72	P21246	P23471	PTN_HUMAN	PTPRZ_HUMAN	curated	PMID: 25644401	PTN	PTPRZ1	Ptn	Ptprz1
760	CPI-SS04F3A1E5C	P53621	Q99523	COPA_HUMAN	SORT_HUMAN	IMEx,InnateDB-All,IntAct,MatrixDB		COPA	SORT1	Copa	Sort1
761	CPI-SS04F90EE0D	P16581	Q92896	LYAM2_HUMAN	GSLG1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/11404363/	SELE	GLG1	Sele	Glg1
762	CPI-SS04FB6F38D	P58294	Q8TCW9	PROK1_HUMAN	PKR1_HUMAN	guidetopharmacology.org		PROK1	PROKR1	Prok1	Prokr1
763	CPI-SS050123B31	Q9GZQ6	Q9HCQ7	NPFF1_HUMAN	NPVF_HUMAN	guidetopharmacology.org		NPFFR1	NPVF	Npffr1	Npvf
764	CPI-SS05162C56B	P20783	Q16288	NTF3_HUMAN	NTRK3_HUMAN	curated	uniprot	NTF3	NTRK3	Ntf3	Ntrk3
765	CPI-SS0518D683C	Q15848	Q8NFJ6	ADIPO_HUMAN	PKR2_HUMAN	IMEx,IntAct		ADIPOQ	PROKR2	Adipoq	Prokr2
766	CPI-SS052127A00	P01138	P04629	NGF_HUMAN	NTRK1_HUMAN	curated	uniprot	NGF	NTRK1	Ngf	Ntrk1
767	CPI-SS0522A6CFA	P35318	Q96LB1	ADML_HUMAN	MRGX2_HUMAN	guidetopharmacology.org		ADM	MRGPRX2	Adm	Mrgprb1
769	CPI-SS052B38F1C	O00626	P51679	CCL22_HUMAN	CCR4_HUMAN	curated	PMID: 24218476	CCL22	CCR4	Ccl22	Ccr4
772	CPI-SS053613259	O14511	P21860	NRG2_HUMAN	ERBB3_HUMAN	curated	uniprot	NRG2	ERBB3	Nrg2	Erbb3
773	CPI-SS054D158CC	P04629	P28799	NTRK1_HUMAN	GRN_HUMAN	InnateDB-All		NTRK1	GRN	Ntrk1	Grn
774	CPI-SS05550A895	O00755	Q13467	WNT7A_HUMAN	FZD5_HUMAN	curated	PMID: 24032637	WNT7A	FZD5	Wnt7a	Fzd5
775	CPI-SS055B305F1	P13688	Q9NNX6	CEAM1_HUMAN	CD209_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/16282604,https://www.ncbi.nlm.nih.gov/pubmed/16246332	CEACAM1	CD209	Ceacam1	Cd209e
776	CPI-SS055E061C9	P11279	Q92520	LAMP1_HUMAN	FAM3C_HUMAN	InnateDB-All		LAMP1	FAM3C	Lamp1	Fam3c
778	CPI-SS056AA08CF	P20800	P25101	EDN2_HUMAN	EDNRA_HUMAN	guidetopharmacology.org		EDN2	EDNRA	Edn2	Ednra
779	CPI-SS056BE1011	O00421	Q99731	CCRL2_HUMAN	CCL19_HUMAN	guidetopharmacology.org		CCRL2	CCL19	Ccrl2	Ccl19
780	CPI-SS056FF4363	P09326	Q9BZW8	CD48_HUMAN	CD244_HUMAN	curated	activating interaction. uniprot & PMID: 26697006	CD48	CD244	Cd48	Cd244a
781	CPI-SS0576E6C7D	O95393	Q9H7M9	BMP10_HUMAN	GI24_HUMAN	IMEx,IntAct		BMP10	VSIR	Bmp10	Vsir
782	CPI-SS0577408A3	P01215	P23945	GLHA_HUMAN	FSHR_HUMAN	I2D,InnateDB-All		CGA	FSHR	Cga	Fshr
783	CPI-SS0579FA162	P01344	P08069	IGF2_HUMAN	IGF1R_HUMAN	curated	PMID: 27102148	IGF2	IGF1R	Igf2	Igf1r
784	CPI-SS05834E385	P25942	P51460	TNR5_HUMAN	INSL3_HUMAN	I2D		CD40	INSL3	Cd40	Insl3
785	CPI-SS0586F2596	P29323	P52803	EPHB2_HUMAN	EFNA5_HUMAN	curated	PMID:15107857; PMID: 15114347	EPHB2	EFNA5	Ephb2	Efna5
786	CPI-SS058E608D0	P12272	P49683	PTHR_HUMAN	PRLHR_HUMAN	guidetopharmacology.org		PTHLH	PRLHR	Pthlh	Prlhr
787	CPI-SS05996C8FD	P01019	P30556	ANGT_HUMAN	AGTR1_HUMAN	guidetopharmacology.org		AGT	AGTR1	Agt	Agtr1a
790	CPI-SS05A26A1DE	P01127	P09619	PDGFB_HUMAN	PGFRB_HUMAN	curated	uniprot	PDGFB	PDGFRB	Pdgfb	Pdgfrb
792	CPI-SS05A94DE17	P09038	P21802	FGF2_HUMAN	FGFR2_HUMAN	curated	uniprot	FGF2	FGFR2	Fgf2	Fgfr2
793	CPI-SS05B1FA8A8	O75581	Q9UBR5	LRP6_HUMAN	CKLF_HUMAN	IMEx,IntAct		LRP6	CKLF	Lrp6	Cklf
794	CPI-SS05B4EB419	P52797	P54764	EFNA3_HUMAN	EPHA4_HUMAN	curated	PMID: 15114347	EFNA3	EPHA4	Efna3	Epha4
795	CPI-SS05B60E59C	P01282	P41587	VIP_HUMAN	VIPR2_HUMAN	I2D		VIP	VIPR2	Vip	Vipr2
796	CPI-SS05B7D3407	P13501	Q16570	CCL5_HUMAN	ACKR1_HUMAN	curated	PMID: 24218476	CCL5	ACKR1	Ccl5	Ackr1
797	CPI-SS05B92CCC4	P51677	Q9NRJ3	CCR3_HUMAN	CCL28_HUMAN	guidetopharmacology.org		CCR3	CCL28	Ccr3	Ccl28
798	CPI-SS05BA6D9C3	P13236	P34972	CCL4_HUMAN	CNR2_HUMAN	IMEx,IntAct		CCL4	CNR2	Ccl4	Cnr2
799	CPI-SS05BE83BC6	P07333	P09919	CSF1R_HUMAN	CSF3_HUMAN	guidetopharmacology.org		CSF1R	CSF3	Csf1r	Csf3
800	CPI-SS05C077A1E	P22455	P55075	FGFR4_HUMAN	FGF8_HUMAN	I2D		FGFR4	FGF8	Fgfr4	Fgf8
801	CPI-SS05C2D0200	O00144	P04628	FZD9_HUMAN	WNT1_HUMAN	I2D		FZD9	WNT1	Fzd9	Wnt1
803	CPI-SS05D1A6BEF	P04629	Q12904	NTRK1_HUMAN	AIMP1_HUMAN	InnateDB-All		NTRK1	AIMP1	Ntrk1	Aimp1
805	CPI-SS05D406038	P43119	Q9UBU3	PI2R_HUMAN	GHRL_HUMAN	InnateDB-All		PTGIR	GHRL	Ptgir	Ghrl
806	CPI-SS05D7900BF	P21246	Q9UM73	PTN_HUMAN	ALK_HUMAN	curated	uniprot	PTN	ALK	Ptn	Alk
807	CPI-SS05E001125	O75473	Q2I0M5	LGR5_HUMAN	RSPO4_HUMAN	guidetopharmacology.org		LGR5	RSPO4	Lgr5	Rspo4
808	CPI-SS05E4B1EBC	P01308	P06213	INS_HUMAN	INSR_HUMAN	curated	uniprot	INS	INSR	Ins2	Insr
810	CPI-SS05E6D620E	P21709	P52798	EPHA1_HUMAN	EFNA4_HUMAN	curated	PMID: 15114347	EPHA1	EFNA4	Epha1	Efna4
811	CPI-SS05ECF1933	P11487	P22455	FGF3_HUMAN	FGFR4_HUMAN	I2D		FGF3	FGFR4	Fgf3	Fgfr4
812	CPI-SS05F0AFA81	P17342	P61366	ANPRC_HUMAN	OSTN_HUMAN	guidetopharmacology.org		NPR3	OSTN	Npr3	Ostn
813	CPI-SS05F45873A	P0DJI8	P25090	SAA1_HUMAN	FPR2_HUMAN	guidetopharmacology.org		SAA1	FPR2	Saa1	Fpr2
814	CPI-SS05FEE05CB	Q99466	Q9Y219	NOTC4_HUMAN	JAG2_HUMAN	curated	PMID: 22353464	NOTCH4	JAG2	Notch4	Jag2
815	CPI-SS06006F870	P02766	Q15109	TTHY_HUMAN	RAGE_HUMAN	I2D,IMEx,InnateDB-All,MINT		TTR	AGER	Ttr	Ager
816	CPI-SS0607D1101	P46531	Q9NYJ7	NOTC1_HUMAN	DLL3_HUMAN	curated	PMID: 22353464	NOTCH1	DLL3	Notch1	Dll3
817	CPI-SS0609FCF76	Q2I0M5	Q9HBX8	RSPO4_HUMAN	LGR6_HUMAN	guidetopharmacology.org		RSPO4	LGR6	Rspo4	Lgr6
818	CPI-SS060B82BBC	P78504	Q04721	JAG1_HUMAN	NOTC2_HUMAN	curated	PMID: 22353464	JAG1	NOTCH2	Jag1	Notch2
819	CPI-SS061A7E099	P08174	P48960	DAF_HUMAN	CD97_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/11297558	CD55	ADGRE5	Cd55	Adgre5
820	CPI-SS06207F70E	Q15762	Q92692	CD226_HUMAN	PVRL2_HUMAN	curated	activating interaction PMID: 15607800, NK cell cytotoxicity. PMID: 24440149	CD226	NECTIN2	Cd226	Nectin2
821	CPI-SS062307CFE	Q02413	Q08554	DSG1_HUMAN	DSC1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/27298358	DSG1	DSC1	Dsg1a	Dsc1
822	CPI-SS062DED513	P18509	P32241	PACA_HUMAN	VIPR1_HUMAN	I2D		ADCYAP1	VIPR1	Adcyap1	Vipr1
823	CPI-SS0632A027A	P16070	Q99075	CD44_HUMAN	HBEGF_HUMAN	I2D,InnateDB-All		CD44	HBEGF	Cd44	Hbegf
826	CPI-SS0649EA05F	P22455	P31371	FGFR4_HUMAN	FGF9_HUMAN	I2D		FGFR4	FGF9	Fgfr4	Fgf9
827	CPI-SS064C772FE	P46092	Q9NRJ3	CCR10_HUMAN	CCL28_HUMAN	guidetopharmacology.org		CCR10	CCL28	Ccr10	Ccl28
829	CPI-SS0658257AC	P22455	Q15256	FGFR4_HUMAN	PTPRR_HUMAN	InnateDB-All		FGFR4	PTPRR	Fgfr4	Ptprr
830	CPI-SS0659DBE72	P52798	P54764	EFNA4_HUMAN	EPHA4_HUMAN	curated	PMID: 15114347	EFNA4	EPHA4	Efna4	Epha4
831	CPI-SS065F7DA2A	P53621	Q15077	COPA_HUMAN	P2RY6_HUMAN	IMEx,IntAct		COPA	P2RY6	Copa	P2ry6
832	CPI-SS066347638	P12034	P22455	FGF5_HUMAN	FGFR4_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGF5	FGFR4	Fgf5	Fgfr4
833	CPI-SS066FBE098	P35225	Q14627	IL13_HUMAN	I13R2_HUMAN	curated	PMID: 26471366	IL13	IL13RA2	Il13	Il13ra2
834	CPI-SS066FE05CA	P41159	P48357	LEP_HUMAN	LEPR_HUMAN	curated	uniprot	LEP	LEPR	Lep	Lepr
835	CPI-SS067BA9202	Q6GTX8	Q8NHJ6	LAIR1_HUMAN	LIRB4_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/19283782/	LAIR1	LILRB4	Lair1	Lilr4b
836	CPI-SS068C129D6	P09603	P78324	CSF1_HUMAN	SHPS1_HUMAN	I2D		CSF1	SIRPA	Csf1	Sirpa
837	CPI-SS068C742A1	P05230	Q03167	FGF1_HUMAN	TGBR3_HUMAN	InnateDB-All		FGF1	TGFBR3	Fgf1	Tgfbr3
838	CPI-SS06908C6CC	P01308	P14735	INS_HUMAN	IDE_HUMAN	I2D,IMEx		INS	IDE	Ins2	Ide
840	CPI-SS069924427	P01019	P50052	ANGT_HUMAN	AGTR2_HUMAN	guidetopharmacology.org		AGT	AGTR2	Agt	Agtr2
841	CPI-SS06A0B20BD	P21802	P54764	FGFR2_HUMAN	EPHA4_HUMAN	I2D,InnateDB-All		FGFR2	EPHA4	Fgfr2	Epha4
842	CPI-SS06A999D25	O14939	P84077	PLD2_HUMAN	ARF1_HUMAN	guidetopharmacology.org		PLD2	ARF1	Pld2	Arf1
843	CPI-SS06AA638A8	P21854	Q92854	CD72_HUMAN	SEM4D_HUMAN	curated	PMID: 22325954	CD72	SEMA4D	Cd72	Sema4d
845	CPI-SS06AC5AF53	P01210	Q96LB2	PENK_HUMAN	MRGX1_HUMAN	guidetopharmacology.org		PENK	MRGPRX1	Penk	Mrgprb2
846	CPI-SS06B0861F1	O00590	Q99616	ACKR2_HUMAN	CCL13_HUMAN	curated	PMID: 24218476	ACKR2	CCL13	Ackr2	Ccl2
847	CPI-SS06B86672A	P16070	P21802	CD44_HUMAN	FGFR2_HUMAN	InnateDB-All		CD44	FGFR2	Cd44	Fgfr2
848	CPI-SS06B94F144	P20594	P23582	ANPRB_HUMAN	ANFC_HUMAN	guidetopharmacology.org		NPR2	NPPC	Npr2	Nppc
849	CPI-SS06BC4D123	P21860	P35070	ERBB3_HUMAN	BTC_HUMAN	curated	uniprot	ERBB3	BTC	Erbb3	Btc
850	CPI-SS06C0074BD	O00585	P32248	CCL21_HUMAN	CCR7_HUMAN	curated	PMID: 24218476	CCL21	CCR7	Ccl21a	Ccr7
851	CPI-SS06CBC985C	P36941	Q06643	TNR3_HUMAN	TNFC_HUMAN	curated	uniprot	LTBR	LTB	Ltbr	Ltb
853	CPI-SS06CE0CF64	O00230	P30872	CORT_HUMAN	SSR1_HUMAN	guidetopharmacology.org		CORT	SSTR1	Cort	Sstr1
854	CPI-SS06CF55F94	P51460	Q8WXD0	INSL3_HUMAN	RXFP2_HUMAN	guidetopharmacology.org		INSL3	RXFP2	Insl3	Rxfp2
855	CPI-SS06D13FCD3	Q02487	Q14126	DSC2_HUMAN	DSG2_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/27298358	DSC2	DSG2	Dsc2	Dsg2
856	CPI-SS06D341996	P11487	P21802	FGF3_HUMAN	FGFR2_HUMAN	I2D,InnateDB-All		FGF3	FGFR2	Fgf3	Fgfr2
858	CPI-SS06F83AE58	P16070	P16581	CD44_HUMAN	LYAM2_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571854/	CD44	SELE	Cd44	Sele
860	CPI-SS0706A559F	Q765I0	Q9UKP6	UTS2B_HUMAN	UR2R_HUMAN	I2D,InnateDB-All		UTS2B	UTS2R	Uts2b	Uts2r
862	CPI-SS070A3A7E5	O95750	P11362	FGF19_HUMAN	FGFR1_HUMAN	IMEx,InnateDB-All		FGF19	FGFR1	Fgf15	Fgfr1
863	CPI-SS070B0E458	Q12879	Q14005	NMDE1_HUMAN	IL16_HUMAN	I2D		GRIN2A	IL16	Grin2a	Il16
864	CPI-SS070C51D94	O75084	P56703	FZD7_HUMAN	WNT3_HUMAN	curated	PMID: 24032637	FZD7	WNT3	Fzd7	Wnt3
865	CPI-SS0714977CA	P23560	Q8TDT2	BDNF_HUMAN	GP152_HUMAN	IMEx,IntAct		BDNF	GPR152	Bdnf	Gpr152
866	CPI-SS07155793F	P25106	P48061	ACKR3_HUMAN	SDF1_HUMAN	guidetopharmacology.org		ACKR3	CXCL12	Ackr3	Cxcl12
868	CPI-SS072E1E27A	O15552	P01375	FFAR2_HUMAN	TNFA_HUMAN	IMEx,IntAct		FFAR2	TNF	Ffar2	Tnf
869	CPI-SS07327E587	P10747	P33681	CD28_HUMAN	CD80_HUMAN	curated	antigen-stimulated T cells become activated. Reviewed in PMID: 23954143	CD28	CD80	Cd28	Cd80
870	CPI-SS0735F5C3A	P01033	P21802	TIMP1_HUMAN	FGFR2_HUMAN	InnateDB-All		TIMP1	FGFR2	Timp1	Fgfr2
871	CPI-SS073811AB3	O00300	O14788	TR11B_HUMAN	TNF11_HUMAN	curated	uniprot	TNFRSF11B	TNFSF11	Tnfrsf11b	Tnfsf11
874	CPI-SS073F3FAD5	P41221	Q01973	WNT5A_HUMAN	ROR1_HUMAN	IMEx		WNT5A	ROR1	Wnt5a	Ror1
875	CPI-SS074050495	P01286	Q02643	SLIB_HUMAN	GHRHR_HUMAN	guidetopharmacology.org		GHRH	GHRHR	Ghrh	Ghrhr
877	CPI-SS074CF011C	Q15303	Q8WWG1	ERBB4_HUMAN	NRG4_HUMAN	curated	uniprot	ERBB4	NRG4	Erbb4	Nrg4
878	CPI-SS0755A26DD	P05230	P11362	FGF1_HUMAN	FGFR1_HUMAN	curated	uniprot	FGF1	FGFR1	Fgf1	Fgfr1
879	CPI-SS075D9B9AD	P01042	P46663	KNG1_HUMAN	BKRB1_HUMAN	guidetopharmacology.org		KNG1	BDKRB1	Kng1	Bdkrb1
880	CPI-SS0762B455F	P20827	P54756	EFNA1_HUMAN	EPHA5_HUMAN	curated	PMID: 15114347	EFNA1	EPHA5	Efna1	Epha5
881	CPI-SS0769B1FF3	P11362	P55075	FGFR1_HUMAN	FGF8_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGFR1	FGF8	Fgfr1	Fgf8
884	CPI-SS076D8A297	P12034	P22607	FGF5_HUMAN	FGFR3_HUMAN	I2D		FGF5	FGFR3	Fgf5	Fgfr3
885	CPI-SS076FEB261	P36888	P49771	FLT3_HUMAN	FLT3L_HUMAN	curated	uniprot	FLT3	FLT3LG	Flt3	Flt3l
887	CPI-SS077B160B9	P40933	Q13261	IL15_HUMAN	I15RA_HUMAN	guidetopharmacology.org		IL15	IL15RA	Il15	Il15ra
888	CPI-SS077D7365D	P10747	P42081	CD28_HUMAN	CD86_HUMAN	curated	antigen-stimulated T cells become activated. Reviewed in PMID: 23954143	CD28	CD86	Cd28	Cd86
889	CPI-SS07833475A	P11362	P21781	FGFR1_HUMAN	FGF7_HUMAN	I2D		FGFR1	FGF7	Fgfr1	Fgf7
890	CPI-SS07835EECF	P01282	P37288	VIP_HUMAN	V1AR_HUMAN	IMEx,IntAct		VIP	AVPR1A	Vip	Avpr1a
891	CPI-SS0795802F6	P13236	P30825	CCL4_HUMAN	CTR1_HUMAN	IMEx,IntAct		CCL4	SLC7A1	Ccl4	Slc7a1
892	CPI-SS079728E8B	P29275	P49961	AA2BR_HUMAN	ENTP1_HUMAN	curated	uniprot	ADORA2B	ENTPD1	Adora2b	Entpd1
893	CPI-SS0799949D7	Q8TDU9	Q9Y5Q6	RL3R2_HUMAN	INSL5_HUMAN	guidetopharmacology.org		RXFP4	INSL5	Rxfp4	Insl5
894	CPI-SS079DDF890	O43508	Q93038	TNF12_HUMAN	TNR25_HUMAN	I2D		TNFSF12	TNFRSF25	Tnfsf12	Tnfrsf25
895	CPI-SS079EF5D9C	P52797	P54756	EFNA3_HUMAN	EPHA5_HUMAN	curated	PMID: 15114347	EFNA3	EPHA5	Efna3	Epha5
897	CPI-SS07A03C20F	O95750	P22455	FGF19_HUMAN	FGFR4_HUMAN	I2D,IMEx,InnateDB-All		FGF19	FGFR4	Fgf15	Fgfr4
898	CPI-SS07A0F4D73	P11362	Q9GZV9	FGFR1_HUMAN	FGF23_HUMAN	IMEx,InnateDB-All		FGFR1	FGF23	Fgfr1	Fgf23
900	CPI-SS07A9A501C	P22607	P31371	FGFR3_HUMAN	FGF9_HUMAN	I2D,InnateDB-All		FGFR3	FGF9	Fgfr3	Fgf9
